SMILES,UV_RT-s,Method
CC1=CC(OC)=NC=C1C2=CC3=CC=CC=C3S2,93.6,AM-I
CC(C1=CC(N(C)C)=CC=C1)C(C2=CC=C(C=C2)C)=O,86.4,AM-I
COC1=CC=CC(C2=CC=NC3=CC=CC=C23)=C1,70.7007,AM-I
NC1=CC=CC(Cl)=C1OC,61.2,AM-I
O=Cc1cccc(C2=CC=CC(C(C)C)=C2)n1,90.6,AM-I
COC1=NC=CC=C1C(C=C2)=CC(F)=C2OC,80.801412,AM-I
C#Cc1cccc(Nc2ccc3scnc3c2)c1,72.6,AM-I
CN1N=CC=C1C2=CC=C(OCC3=CC=CC=C3)C=C2,82.8,AM-I
FC1=CN=C(C2=CC3=CC=CC=C3C=C2)C=C1,87.40188,AM-I
CC1=CC=CC=C1C2=CC=NN2C,66.6,AM-I
